property_name,room_count,room_type,city,country,locality,state
Hotel Jivan Jyoti,9,Standard Room,Kalimpong,INDIA,Rishi Road-Highway 12,WestBengal
OYO Premium Kalimati Road Jamshedpur,15,Premium Room,Jamshedpur,INDIA,,Jharkhand
OYO Rooms Bera Road,15,Standard Room AC,Jaisalmer,INDIA,,Rajasthan
Grand Kakinada by GRT Hotels,85,Business Room,Kakinada,INDIA,Cinema Road,AndhraPradesh
Hotel Gorakh Haveli,17,Deluxe,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Mohan Niwas,5,Deluxe Ac Room,Jodhpur,INDIA,Ratanada Petrol Pump,Rajasthan
Hotel Navrang Kalka,8,Super Deluxe Room,Kalka,INDIA,Near Kalka Railway Station,Haryana
Hotel Gopi Nivas Grand,70,Standard Non A/c Room,Kanyakumari,INDIA,Near Vivekananda Rock Memorial,TamilNadu
Polo Inn Guest House,0,AC Room,Jodhpur,INDIA,Paota,Rajasthan
Hotel The Vaishnodevi,40,Royal Suite,Katra,INDIA,Reasi Road,JammuandKashmir
Vista Rooms at Jaisalmer Fort,20,Standard Room AC,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Kumaran Guest House- Karaikal,19,Double Bed Room,Karaikal,INDIA,Dr. Ambedkar Street,TamilNadu
Manvar Desert Camp,40,Standard Camp,Jodhpur,INDIA,,Rajasthan
The Blue House Guest House,21,Standard,Jodhpur,INDIA,Old City,Rajasthan
Kavvayi Beach House,8,Deluxe Room Non AC,Kannur,INDIA,Payyannur,Kerala
Sadhoo Inn,20,Deluxe Room,Kannur,INDIA,Kannur Railway Station,Kerala
Hotel Prem Plaza,20,Executive Room,Karnal,INDIA,Near Railway Station,Haryana
Raman Palace,20,Economy Room,Jodhpur,INDIA,Ratanada Petrol Pump,Rajasthan
Thai Resort,6,Standard Room Non AC,Kannur,INDIA,Near Parassinikadavu Sri Muthappan Temple,Kerala
Hotel Manglam,9,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Arul Inn,30,Deluxe Room,Karaikal,INDIA,Nagapattinam Highway,TamilNadu
OYO Rooms Near Jaisalmer Sunset Point,15,Standard Room AC,Jaisalmer,INDIA,City Centre,Rajasthan
OYO Premium Near Civil Hospital Karnal,15,Standard Room AC,Karnal,INDIA,Kunjpura Road,Haryana
Utsav Hotel,20,Deluxe Room,Jodhpur,INDIA,Near Railway Station,Rajasthan
Hotel Ajanta Haveli,22,Deluxe Room,Jaisalmer,INDIA,City Centre,Rajasthan
Singhvi's Haveli,11,Standard Room AC,Jodhpur,INDIA,Old City,Rajasthan
Hotel Paradise Jaisalmer,23,Standard A/C,Jaisalmer,INDIA,Inside Jaisalmer Fort,Rajasthan
Mangal Haveli Guest House,12,Standard Room Non AC,Jodhpur,INDIA,Old City,Rajasthan
Subash Guest House,7,Double Room,Katra,INDIA,City Bus Terminus,JammuandKashmir
Vansh Villa,11,Deluxe Ac,Jaisalmer,INDIA,City Centre,Rajasthan
Hotel Rangyul Kargil,10,Standard Room,Kargil,INDIA,,JammuandKashmir
The Citi Inn Hotel,35,Single Room,Jamshedpur,INDIA,Mango,Jharkhand
Club Mahindra Jaisalmer,0,Standard Room,Jaisalmer,INDIA,Near Jaisalmer Golden Fort,Rajasthan
Hotel Sky Palace,25,Standard Room Non AC,Kannur,INDIA,Kannur Railway Station,Kerala
Prakriti Kasauli,3,Deluxe Room,Kasauli,INDIA,Sanawar Hills,HimachalPradesh
Hotel Maharaja Residency,30,Super Deluxe Room,Jalandhar,INDIA,Near Railway Road,Punjab
S.S.K. INN,75,Double Bed AC,Kanchipuram,INDIA,Gandhi Road,TamilNadu
